project,bug,class,concat
Chart,1,source/org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,Chart-1
Chart,2,source/org/jfree/data/general/DatasetUtilities.java,Chart-2
Chart,5,source/org/jfree/data/xy/XYSeries.java,Chart-5
Chart,9,source/org/jfree/data/time/TimeSeries.java,Chart-9
Chart,11,source/org/jfree/chart/util/ShapeUtilities.java,Chart-11
Chart,12,source/org/jfree/chart/plot/MultiplePiePlot.java,Chart-12
Chart,16,source/org/jfree/data/category/DefaultIntervalCategoryDataset.java,Chart-16
Chart,17,source/org/jfree/data/time/TimeSeries.java,Chart-17
Closure,1,src/com/google/javascript/jscomp/RemoveUnusedVars.java,Closure-1
Closure,10,src/com/google/javascript/jscomp/NodeUtil.java,Closure-10
Closure,100,src/com/google/javascript/jscomp/CheckGlobalThis.java,Closure-100
Closure,101,src/com/google/javascript/jscomp/CommandLineRunner.java,Closure-101
Closure,102,src/com/google/javascript/jscomp/Normalize.java,Closure-102
Closure,103,src/com/google/javascript/jscomp/DisambiguateProperties.java,Closure-103
Closure,104,src/com/google/javascript/rhino/jstype/UnionType.java,Closure-104
Closure,105,src/com/google/javascript/jscomp/FoldConstants.java,Closure-105
Closure,106,src/com/google/javascript/rhino/JSDocInfoBuilder.java,Closure-106
Closure,107,src/com/google/javascript/jscomp/CommandLineRunner.java,Closure-107
Closure,108,src/com/google/javascript/jscomp/ScopedAliases.java,Closure-108
Closure,109,src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java,Closure-109
Closure,11,src/com/google/javascript/jscomp/TypeCheck.java,Closure-11
Closure,110,src/com/google/javascript/jscomp/ScopedAliases.java,Closure-110
Closure,111,src/com/google/javascript/jscomp/type/ClosureReverseAbstractInterpreter.java,Closure-111
Closure,112,src/com/google/javascript/jscomp/TypeInference.java,Closure-112
Closure,113,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,Closure-113
Closure,114,src/com/google/javascript/jscomp/NameAnalyzer.java,Closure-114
Closure,115,src/com/google/javascript/jscomp/FunctionInjector.java,Closure-115
Closure,116,src/com/google/javascript/jscomp/FunctionInjector.java,Closure-116
Closure,117,src/com/google/javascript/jscomp/TypeValidator.java,Closure-117
Closure,118,src/com/google/javascript/jscomp/DisambiguateProperties.java,Closure-118
Closure,119,src/com/google/javascript/jscomp/GlobalNamespace.java,Closure-119
Closure,12,src/com/google/javascript/jscomp/MaybeReachingVariableUse.java,Closure-12
Closure,120,src/com/google/javascript/jscomp/ReferenceCollectingCallback.java,Closure-120
Closure,121,src/com/google/javascript/jscomp/InlineVariables.java,Closure-121
Closure,122,src/com/google/javascript/jscomp/parsing/IRFactory.java,Closure-122
Closure,123,src/com/google/javascript/jscomp/CodeGenerator.java,Closure-123
Closure,124,src/com/google/javascript/jscomp/ExploitAssigns.java,Closure-124
Closure,125,src/com/google/javascript/jscomp/TypeCheck.java,Closure-125
Closure,126,src/com/google/javascript/jscomp/MinimizeExitPoints.java,Closure-126
Closure,127,src/com/google/javascript/jscomp/UnreachableCodeElimination.java,Closure-127
Closure,128,src/com/google/javascript/jscomp/CodeGenerator.java,Closure-128
Closure,129,src/com/google/javascript/jscomp/PrepareAst.java,Closure-129
Closure,13,src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java,Closure-13
Closure,130,src/com/google/javascript/jscomp/CollapseProperties.java,Closure-130
Closure,131,src/com/google/javascript/rhino/TokenStream.java,Closure-131
Closure,132,src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java,Closure-132
Closure,133,src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java,Closure-133
Closure,14,src/com/google/javascript/jscomp/ControlFlowAnalysis.java,Closure-14
Closure,15,src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java,Closure-15
Closure,16,src/com/google/javascript/jscomp/ScopedAliases.java,Closure-16
Closure,17,src/com/google/javascript/jscomp/TypedScopeCreator.java,Closure-17
Closure,18,src/com/google/javascript/jscomp/Compiler.java,Closure-18
Closure,19,src/com/google/javascript/jscomp/type/ChainableReverseAbstractInterpreter.java,Closure-19
Closure,2,src/com/google/javascript/jscomp/TypeCheck.java,Closure-2
Closure,20,src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java,Closure-20
Closure,21,src/com/google/javascript/jscomp/CheckSideEffects.java,Closure-21
Closure,22,src/com/google/javascript/jscomp/CheckSideEffects.java,Closure-22
Closure,23,src/com/google/javascript/jscomp/PeepholeFoldConstants.java,Closure-23
Closure,24,src/com/google/javascript/jscomp/ScopedAliases.java,Closure-24
Closure,25,src/com/google/javascript/jscomp/TypeInference.java,Closure-25
Closure,26,src/com/google/javascript/jscomp/ProcessCommonJSModules.java,Closure-26
Closure,27,src/com/google/javascript/rhino/IR.java,Closure-27
Closure,29,src/com/google/javascript/jscomp/InlineObjectLiterals.java,Closure-29
Closure,3,src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java,Closure-3
Closure,30,src/com/google/javascript/jscomp/MustBeReachingVariableDef.java,Closure-30
Closure,31,src/com/google/javascript/jscomp/Compiler.java,Closure-31
Closure,32,src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java,Closure-32
Closure,33,src/com/google/javascript/rhino/jstype/PrototypeObjectType.java,Closure-33
Closure,34,src/com/google/javascript/jscomp/CodeGenerator.java,Closure-34
Closure,35,src/com/google/javascript/jscomp/TypeInference.java,Closure-35
Closure,36,src/com/google/javascript/jscomp/InlineVariables.java,Closure-36
Closure,37,src/com/google/javascript/jscomp/NodeTraversal.java,Closure-37
Closure,38,src/com/google/javascript/jscomp/CodeConsumer.java,Closure-38
Closure,39,src/com/google/javascript/rhino/jstype/PrototypeObjectType.java,Closure-39
Closure,4,src/com/google/javascript/rhino/jstype/NamedType.java,Closure-4
Closure,40,src/com/google/javascript/jscomp/NameAnalyzer.java,Closure-40
Closure,41,src/com/google/javascript/jscomp/FunctionTypeBuilder.java,Closure-41
Closure,42,src/com/google/javascript/jscomp/parsing/IRFactory.java,Closure-42
Closure,43,src/com/google/javascript/jscomp/TypedScopeCreator.java,Closure-43
Closure,44,src/com/google/javascript/jscomp/CodeConsumer.java,Closure-44
Closure,45,src/com/google/javascript/jscomp/RemoveUnusedVars.java,Closure-45
Closure,46,src/com/google/javascript/rhino/jstype/RecordType.java,Closure-46
Closure,47,src/com/google/javascript/jscomp/SourceMap.java,Closure-47
Closure,48,src/com/google/javascript/jscomp/TypedScopeCreator.java,Closure-48
Closure,49,src/com/google/javascript/jscomp/MakeDeclaredNamesUnique.java,Closure-49
Closure,5,src/com/google/javascript/jscomp/InlineObjectLiterals.java,Closure-5
Closure,50,src/com/google/javascript/jscomp/PeepholeReplaceKnownMethods.java,Closure-50
Closure,51,src/com/google/javascript/jscomp/CodeConsumer.java,Closure-51
Closure,52,src/com/google/javascript/jscomp/CodeGenerator.java,Closure-52
Closure,53,src/com/google/javascript/jscomp/InlineObjectLiterals.java,Closure-53
Closure,54,src/com/google/javascript/jscomp/TypedScopeCreator.java,Closure-54
Closure,55,src/com/google/javascript/jscomp/FunctionRewriter.java,Closure-55
Closure,56,src/com/google/javascript/jscomp/SourceFile.java,Closure-56
Closure,57,src/com/google/javascript/jscomp/ClosureCodingConvention.java,Closure-57
Closure,58,src/com/google/javascript/jscomp/LiveVariablesAnalysis.java,Closure-58
Closure,59,src/com/google/javascript/jscomp/Compiler.java,Closure-59
Closure,6,src/com/google/javascript/jscomp/TypeValidator.java,Closure-6
Closure,60,src/com/google/javascript/jscomp/NodeUtil.java,Closure-60
Closure,61,src/com/google/javascript/jscomp/NodeUtil.java,Closure-61
Closure,62,src/com/google/javascript/jscomp/LightweightMessageFormatter.java,Closure-62
Closure,64,src/com/google/javascript/jscomp/Compiler.java,Closure-64
Closure,65,src/com/google/javascript/jscomp/CodeGenerator.java,Closure-65
Closure,66,src/com/google/javascript/jscomp/TypeCheck.java,Closure-66
Closure,67,src/com/google/javascript/jscomp/AnalyzePrototypeProperties.java,Closure-67
Closure,68,src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java,Closure-68
Closure,69,src/com/google/javascript/jscomp/TypeCheck.java,Closure-69
Closure,7,src/com/google/javascript/jscomp/type/ChainableReverseAbstractInterpreter.java,Closure-7
Closure,70,src/com/google/javascript/jscomp/TypedScopeCreator.java,Closure-70
Closure,71,src/com/google/javascript/jscomp/CheckAccessControls.java,Closure-71
Closure,72,src/com/google/javascript/jscomp/RenameLabels.java,Closure-72
Closure,73,src/com/google/javascript/jscomp/CodeGenerator.java,Closure-73
Closure,74,src/com/google/javascript/jscomp/PeepholeFoldConstants.java,Closure-74
Closure,75,src/com/google/javascript/jscomp/NodeUtil.java,Closure-75
Closure,76,src/com/google/javascript/jscomp/DeadAssignmentsElimination.java,Closure-76
Closure,77,src/com/google/javascript/jscomp/CodeGenerator.java,Closure-77
Closure,78,src/com/google/javascript/jscomp/PeepholeFoldConstants.java,Closure-78
Closure,79,src/com/google/javascript/jscomp/Normalize.java,Closure-79
Closure,8,src/com/google/javascript/jscomp/CollapseVariableDeclarations.java,Closure-8
Closure,80,src/com/google/javascript/jscomp/NodeUtil.java,Closure-80
Closure,81,src/com/google/javascript/jscomp/parsing/IRFactory.java,Closure-81
Closure,82,src/com/google/javascript/rhino/jstype/JSType.java,Closure-82
Closure,83,src/com/google/javascript/jscomp/CommandLineRunner.java,Closure-83
Closure,84,src/com/google/javascript/jscomp/parsing/IRFactory.java,Closure-84
Closure,85,src/com/google/javascript/jscomp/UnreachableCodeElimination.java,Closure-85
Closure,86,src/com/google/javascript/jscomp/NodeUtil.java,Closure-86
Closure,87,src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java,Closure-87
Closure,88,src/com/google/javascript/jscomp/DeadAssignmentsElimination.java,Closure-88
Closure,89,src/com/google/javascript/jscomp/GlobalNamespace.java,Closure-89
Closure,9,src/com/google/javascript/jscomp/ProcessCommonJSModules.java,Closure-9
Closure,90,src/com/google/javascript/jscomp/FunctionTypeBuilder.java,Closure-90
Closure,91,src/com/google/javascript/jscomp/CheckGlobalThis.java,Closure-91
Closure,92,src/com/google/javascript/jscomp/ProcessClosurePrimitives.java,Closure-92
Closure,94,src/com/google/javascript/jscomp/NodeUtil.java,Closure-94
Closure,95,src/com/google/javascript/jscomp/TypedScopeCreator.java,Closure-95
Closure,96,src/com/google/javascript/jscomp/TypeCheck.java,Closure-96
Closure,97,src/com/google/javascript/jscomp/PeepholeFoldConstants.java,Closure-97
Closure,98,src/com/google/javascript/jscomp/ReferenceCollectingCallback.java,Closure-98
Closure,99,src/com/google/javascript/jscomp/CheckGlobalThis.java,Closure-99
Lang,1,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-1
Lang,10,src/main/java/org/apache/commons/lang3/time/FastDateParser.java,Lang-10
Lang,11,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,Lang-11
Lang,12,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,Lang-12
Lang,13,src/main/java/org/apache/commons/lang3/SerializationUtils.java,Lang-13
Lang,14,src/main/java/org/apache/commons/lang3/StringUtils.java,Lang-14
Lang,15,src/main/java/org/apache/commons/lang3/reflect/TypeUtils.java,Lang-15
Lang,16,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-16
Lang,17,src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,Lang-17
Lang,18,src/main/java/org/apache/commons/lang3/time/FastDateFormat.java,Lang-18
Lang,19,src/main/java/org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,Lang-19
Lang,20,src/main/java/org/apache/commons/lang3/StringUtils.java,Lang-20
Lang,21,src/main/java/org/apache/commons/lang3/time/DateUtils.java,Lang-21
Lang,22,src/main/java/org/apache/commons/lang3/math/Fraction.java,Lang-22
Lang,24,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-24
Lang,26,src/main/java/org/apache/commons/lang3/time/FastDateFormat.java,Lang-26
Lang,27,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-27
Lang,28,src/main/java/org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,Lang-28
Lang,3,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-3
Lang,30,src/main/java/org/apache/commons/lang3/StringUtils.java,Lang-30
Lang,31,src/main/java/org/apache/commons/lang3/StringUtils.java,Lang-31
Lang,32,src/main/java/org/apache/commons/lang3/builder/HashCodeBuilder.java,Lang-32
Lang,33,src/main/java/org/apache/commons/lang3/ClassUtils.java,Lang-33
Lang,34,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,Lang-34
Lang,35,src/main/java/org/apache/commons/lang3/ArrayUtils.java,Lang-35
Lang,37,src/java/org/apache/commons/lang3/ArrayUtils.java,Lang-37
Lang,38,src/java/org/apache/commons/lang3/time/FastDateFormat.java,Lang-38
Lang,39,src/java/org/apache/commons/lang3/StringUtils.java,Lang-39
Lang,4,src/main/java/org/apache/commons/lang3/text/translate/LookupTranslator.java,Lang-4
Lang,40,src/java/org/apache/commons/lang/StringUtils.java,Lang-40
Lang,41,src/java/org/apache/commons/lang/ClassUtils.java,Lang-41
Lang,43,src/java/org/apache/commons/lang/text/ExtendedMessageFormat.java,Lang-43
Lang,44,src/java/org/apache/commons/lang/NumberUtils.java,Lang-44
Lang,45,src/java/org/apache/commons/lang/WordUtils.java,Lang-45
Lang,46,src/java/org/apache/commons/lang/StringEscapeUtils.java,Lang-46
Lang,47,src/java/org/apache/commons/lang/text/StrBuilder.java,Lang-47
Lang,48,src/java/org/apache/commons/lang/builder/EqualsBuilder.java,Lang-48
Lang,49,src/java/org/apache/commons/lang/math/Fraction.java,Lang-49
Lang,5,src/main/java/org/apache/commons/lang3/LocaleUtils.java,Lang-5
Lang,50,src/java/org/apache/commons/lang/time/FastDateFormat.java,Lang-50
Lang,51,src/java/org/apache/commons/lang/BooleanUtils.java,Lang-51
Lang,52,src/java/org/apache/commons/lang/StringEscapeUtils.java,Lang-52
Lang,53,src/java/org/apache/commons/lang/time/DateUtils.java,Lang-53
Lang,54,src/java/org/apache/commons/lang/LocaleUtils.java,Lang-54
Lang,55,src/java/org/apache/commons/lang/time/StopWatch.java,Lang-55
Lang,56,src/java/org/apache/commons/lang/time/FastDateFormat.java,Lang-56
Lang,57,src/java/org/apache/commons/lang/LocaleUtils.java,Lang-57
Lang,58,src/java/org/apache/commons/lang/math/NumberUtils.java,Lang-58
Lang,59,src/java/org/apache/commons/lang/text/StrBuilder.java,Lang-59
