project,bug,class,concat
Lang,17,src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,Lang-17
Lang,18,src/main/java/org/apache/commons/lang3/time/FastDateFormat.java,Lang-18
Lang,19,src/main/java/org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,Lang-19
Lang,2,src/main/java/org/apache/commons/lang3/LocaleUtils.java,Lang-2
Lang,20,src/main/java/org/apache/commons/lang3/StringUtils.java,Lang-20
Lang,21,src/main/java/org/apache/commons/lang3/time/DateUtils.java,Lang-21
Lang,22,src/main/java/org/apache/commons/lang3/math/Fraction.java,Lang-22
Lang,23,src/main/java/org/apache/commons/lang3/text/ExtendedMessageFormat.java,Lang-23
Lang,24,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-24
Lang,25,src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,Lang-25
Lang,26,src/main/java/org/apache/commons/lang3/time/FastDateFormat.java,Lang-26
Lang,27,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-27
Lang,28,src/main/java/org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,Lang-28
Lang,29,src/main/java/org/apache/commons/lang3/SystemUtils.java,Lang-29
Lang,3,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-3
Lang,30,src/main/java/org/apache/commons/lang3/StringUtils.java,Lang-30
Lang,31,src/main/java/org/apache/commons/lang3/StringUtils.java,Lang-31
Lang,32,src/main/java/org/apache/commons/lang3/builder/HashCodeBuilder.java,Lang-32
Lang,33,src/main/java/org/apache/commons/lang3/ClassUtils.java,Lang-33
Lang,34,src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java,Lang-34
Lang,35,src/main/java/org/apache/commons/lang3/ArrayUtils.java,Lang-35
Lang,36,src/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-36
Lang,37,src/java/org/apache/commons/lang3/ArrayUtils.java,Lang-37
Lang,38,src/java/org/apache/commons/lang3/time/FastDateFormat.java,Lang-38
Lang,39,src/java/org/apache/commons/lang3/StringUtils.java,Lang-39
Lang,4,src/main/java/org/apache/commons/lang3/text/translate/LookupTranslator.java,Lang-4
Lang,40,src/java/org/apache/commons/lang/StringUtils.java,Lang-40
Lang,41,src/java/org/apache/commons/lang/ClassUtils.java,Lang-41
Lang,42,src/java/org/apache/commons/lang/Entities.java,Lang-42
Lang,43,src/java/org/apache/commons/lang/text/ExtendedMessageFormat.java,Lang-43
Lang,44,src/java/org/apache/commons/lang/NumberUtils.java,Lang-44
Lang,45,src/java/org/apache/commons/lang/WordUtils.java,Lang-45
Lang,46,src/java/org/apache/commons/lang/StringEscapeUtils.java,Lang-46
Lang,47,src/java/org/apache/commons/lang/text/StrBuilder.java,Lang-47
Lang,48,src/java/org/apache/commons/lang/builder/EqualsBuilder.java,Lang-48
Lang,49,src/java/org/apache/commons/lang/math/Fraction.java,Lang-49
Lang,5,src/main/java/org/apache/commons/lang3/LocaleUtils.java,Lang-5
Lang,50,src/java/org/apache/commons/lang/time/FastDateFormat.java,Lang-50
Lang,51,src/java/org/apache/commons/lang/BooleanUtils.java,Lang-51
Lang,52,src/java/org/apache/commons/lang/StringEscapeUtils.java,Lang-52
Lang,53,src/java/org/apache/commons/lang/time/DateUtils.java,Lang-53
Lang,54,src/java/org/apache/commons/lang/LocaleUtils.java,Lang-54
Lang,55,src/java/org/apache/commons/lang/time/StopWatch.java,Lang-55
Lang,56,src/java/org/apache/commons/lang/time/FastDateFormat.java,Lang-56
Lang,57,src/java/org/apache/commons/lang/LocaleUtils.java,Lang-57
Lang,58,src/java/org/apache/commons/lang/math/NumberUtils.java,Lang-58
Lang,59,src/java/org/apache/commons/lang/text/StrBuilder.java,Lang-59
Lang,6,src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java,Lang-6
Lang,60,src/java/org/apache/commons/lang/text/StrBuilder.java,Lang-60
Lang,61,src/java/org/apache/commons/lang/text/StrBuilder.java,Lang-61
Lang,62,src/java/org/apache/commons/lang/Entities.java,Lang-62
Lang,63,src/java/org/apache/commons/lang/time/DurationFormatUtils.java,Lang-63
Lang,64,src/java/org/apache/commons/lang/enums/ValuedEnum.java,Lang-64
Lang,65,src/java/org/apache/commons/lang/time/DateUtils.java,Lang-65
Lang,7,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Lang-7
Lang,8,src/main/java/org/apache/commons/lang3/time/FastDatePrinter.java,Lang-8
Lang,9,src/main/java/org/apache/commons/lang3/time/FastDateParser.java,Lang-9
Math,1,src/main/java/org/apache/commons/math3/fraction/BigFraction.java,Math-1
Math,1,src/main/java/org/apache/commons/math3/fraction/Fraction.java,Math-1
Math,10,src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java,Math-10
Math,100,src/java/org/apache/commons/math/estimation/AbstractEstimator.java,Math-100
Math,101,src/java/org/apache/commons/math/complex/ComplexFormat.java,Math-101
Math,102,src/java/org/apache/commons/math/stat/inference/ChiSquareTestImpl.java,Math-102
Math,103,src/java/org/apache/commons/math/distribution/NormalDistributionImpl.java,Math-103
Math,104,src/java/org/apache/commons/math/special/Gamma.java,Math-104
Math,105,src/java/org/apache/commons/math/stat/regression/SimpleRegression.java,Math-105
Math,106,src/java/org/apache/commons/math/fraction/ProperFractionFormat.java,Math-106
Math,11,src/main/java/org/apache/commons/math3/distribution/MultivariateNormalDistribution.java,Math-11
Math,12,src/main/java/org/apache/commons/math3/random/BitsStreamGenerator.java,Math-12
Math,13,src/main/java/org/apache/commons/math3/optimization/general/AbstractLeastSquaresOptimizer.java,Math-13
Math,14,src/main/java/org/apache/commons/math3/optim/nonlinear/vector/jacobian/AbstractLeastSquaresOptimizer.java,Math-14
Math,14,src/main/java/org/apache/commons/math3/optim/nonlinear/vector/Weight.java,Math-14
Math,15,src/main/java/org/apache/commons/math3/util/FastMath.java,Math-15
Math,16,src/main/java/org/apache/commons/math3/util/FastMath.java,Math-16
Math,17,src/main/java/org/apache/commons/math3/dfp/Dfp.java,Math-17
Math,18,src/main/java/org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,Math-18
Math,19,src/main/java/org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,Math-19
Math,2,src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java,Math-2
Math,20,src/main/java/org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,Math-20
Math,21,src/main/java/org/apache/commons/math3/linear/RectangularCholeskyDecomposition.java,Math-21
Math,22,src/main/java/org/apache/commons/math3/distribution/FDistribution.java,Math-22
Math,22,src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java,Math-22
Math,23,src/main/java/org/apache/commons/math3/optimization/univariate/BrentOptimizer.java,Math-23
Math,24,src/main/java/org/apache/commons/math3/optimization/univariate/BrentOptimizer.java,Math-24
Math,25,src/main/java/org/apache/commons/math3/optimization/fitting/HarmonicFitter.java,Math-25
Math,26,src/main/java/org/apache/commons/math3/fraction/Fraction.java,Math-26
Math,27,src/main/java/org/apache/commons/math3/fraction/Fraction.java,Math-27
Math,28,src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java,Math-28
Math,29,src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java,Math-29
Math,3,src/main/java/org/apache/commons/math3/util/MathArrays.java,Math-3
Math,30,src/main/java/org/apache/commons/math3/stat/inference/MannWhitneyUTest.java,Math-30
Math,31,src/main/java/org/apache/commons/math3/util/ContinuedFraction.java,Math-31
Math,32,src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java,Math-32
Math,33,src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java,Math-33
Math,34,src/main/java/org/apache/commons/math3/genetics/ListPopulation.java,Math-34
Math,35,src/main/java/org/apache/commons/math3/genetics/ElitisticListPopulation.java,Math-35
Math,36,src/main/java/org/apache/commons/math/fraction/BigFraction.java,Math-36
Math,37,src/main/java/org/apache/commons/math/complex/Complex.java,Math-37
Math,38,src/main/java/org/apache/commons/math/optimization/direct/BOBYQAOptimizer.java,Math-38
Math,39,src/main/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,Math-39
Math,4,src/main/java/org/apache/commons/math3/geometry/euclidean/threed/SubLine.java,Math-4
Math,4,src/main/java/org/apache/commons/math3/geometry/euclidean/twod/SubLine.java,Math-4
Math,40,src/main/java/org/apache/commons/math/analysis/solvers/BracketingNthOrderBrentSolver.java,Math-40
Math,41,src/main/java/org/apache/commons/math/stat/descriptive/moment/Variance.java,Math-41
Math,42,src/main/java/org/apache/commons/math/optimization/linear/SimplexTableau.java,Math-42
Math,43,src/main/java/org/apache/commons/math/stat/descriptive/SummaryStatistics.java,Math-43
Math,44,src/main/java/org/apache/commons/math/ode/AbstractIntegrator.java,Math-44
Math,45,src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java,Math-45
Math,46,src/main/java/org/apache/commons/math/complex/Complex.java,Math-46
Math,47,src/main/java/org/apache/commons/math/complex/Complex.java,Math-47
Math,48,src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java,Math-48
Math,49,src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java,Math-49
Math,5,src/main/java/org/apache/commons/math3/complex/Complex.java,Math-5
Math,50,src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java,Math-50
Math,51,src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java,Math-51
Math,52,src/main/java/org/apache/commons/math/geometry/euclidean/threed/Rotation.java,Math-52
Math,53,src/main/java/org/apache/commons/math/complex/Complex.java,Math-53
Math,54,src/main/java/org/apache/commons/math/dfp/Dfp.java,Math-54
Math,55,src/main/java/org/apache/commons/math/geometry/Vector3D.java,Math-55
Math,56,src/main/java/org/apache/commons/math/util/MultidimensionalCounter.java,Math-56
Math,57,src/main/java/org/apache/commons/math/stat/clustering/KMeansPlusPlusClusterer.java,Math-57
Math,58,src/main/java/org/apache/commons/math/optimization/fitting/GaussianFitter.java,Math-58
Math,59,src/main/java/org/apache/commons/math/util/FastMath.java,Math-59
Math,6,src/main/java/org/apache/commons/math3/optim/BaseOptimizer.java,Math-6
Math,6,src/main/java/org/apache/commons/math3/optim/nonlinear/scalar/gradient/NonLinearConjugateGradientOptimizer.java,Math-6
Math,6,src/main/java/org/apache/commons/math3/optim/nonlinear/scalar/noderiv/CMAESOptimizer.java,Math-6
Math,6,src/main/java/org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,Math-6
Math,6,src/main/java/org/apache/commons/math3/optim/nonlinear/scalar/noderiv/SimplexOptimizer.java,Math-6
Math,6,src/main/java/org/apache/commons/math3/optim/nonlinear/vector/jacobian/GaussNewtonOptimizer.java,Math-6
Math,6,src/main/java/org/apache/commons/math3/optim/nonlinear/vector/jacobian/LevenbergMarquardtOptimizer.java,Math-6
Math,60,src/main/java/org/apache/commons/math/distribution/NormalDistributionImpl.java,Math-60
Math,61,src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java,Math-61
Math,62,src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java,Math-62
Math,63,src/main/java/org/apache/commons/math/util/MathUtils.java,Math-63
Math,64,src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java,Math-64
Math,65,src/main/java/org/apache/commons/math/optimization/general/AbstractLeastSquaresOptimizer.java,Math-65
Math,66,src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java,Math-66
Math,67,src/main/java/org/apache/commons/math/optimization/MultiStartUnivariateRealOptimizer.java,Math-67
Math,68,src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java,Math-68
Math,69,src/main/java/org/apache/commons/math/stat/correlation/PearsonsCorrelation.java,Math-69
Math,7,src/main/java/org/apache/commons/math3/ode/AbstractIntegrator.java,Math-7
Math,70,src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java,Math-70
Math,71,src/main/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,Math-71
Math,71,src/main/java/org/apache/commons/math/ode/nonstiff/RungeKuttaIntegrator.java,Math-71
Math,72,src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java,Math-72
Math,73,src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java,Math-73
Math,74,src/main/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,Math-74
Math,75,src/main/java/org/apache/commons/math/stat/Frequency.java,Math-75
Math,76,src/main/java/org/apache/commons/math/linear/SingularValueDecompositionImpl.java,Math-76
Math,77,src/main/java/org/apache/commons/math/linear/ArrayRealVector.java,Math-77
Math,77,src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java,Math-77
Math,78,src/main/java/org/apache/commons/math/ode/events/EventState.java,Math-78
Math,79,src/main/java/org/apache/commons/math/util/MathUtils.java,Math-79
Math,8,src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java,Math-8
Math,80,src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java,Math-80
Math,81,src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java,Math-81
Math,82,src/main/java/org/apache/commons/math/optimization/linear/SimplexSolver.java,Math-82
Math,83,src/main/java/org/apache/commons/math/optimization/linear/SimplexTableau.java,Math-83
Math,84,src/main/java/org/apache/commons/math/optimization/direct/MultiDirectional.java,Math-84
Math,85,src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java,Math-85
Math,86,src/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java,Math-86
Math,87,src/java/org/apache/commons/math/optimization/linear/SimplexTableau.java,Math-87
Math,88,src/java/org/apache/commons/math/optimization/linear/SimplexTableau.java,Math-88
Math,89,src/java/org/apache/commons/math/stat/Frequency.java,Math-89
Math,9,src/main/java/org/apache/commons/math3/geometry/euclidean/threed/Line.java,Math-9
Math,90,src/java/org/apache/commons/math/stat/Frequency.java,Math-90
Math,91,src/java/org/apache/commons/math/fraction/Fraction.java,Math-91
Math,92,src/java/org/apache/commons/math/util/MathUtils.java,Math-92
Math,93,src/java/org/apache/commons/math/util/MathUtils.java,Math-93
Math,94,src/java/org/apache/commons/math/util/MathUtils.java,Math-94
Math,95,src/java/org/apache/commons/math/distribution/FDistributionImpl.java,Math-95
Math,96,src/java/org/apache/commons/math/complex/Complex.java,Math-96
Math,97,src/java/org/apache/commons/math/analysis/BrentSolver.java,Math-97
Math,98,src/java/org/apache/commons/math/linear/BigMatrixImpl.java,Math-98
Math,98,src/java/org/apache/commons/math/linear/RealMatrixImpl.java,Math-98
Math,99,src/java/org/apache/commons/math/util/MathUtils.java,Math-99
Mockito,1,src/org/mockito/internal/invocation/InvocationMatcher.java,Mockito-1
Mockito,10,src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,Mockito-10
Mockito,11,src/org/mockito/internal/creation/DelegatingMethod.java,Mockito-11
Mockito,12,src/org/mockito/internal/util/reflection/GenericMaster.java,Mockito-12
Mockito,13,src/org/mockito/internal/MockHandler.java,Mockito-13
Mockito,14,src/org/mockito/internal/MockHandler.java,Mockito-14
Mockito,14,src/org/mockito/internal/MockitoCore.java,Mockito-14
Mockito,15,src/org/mockito/internal/configuration/injection/FinalMockCandidateFilter.java,Mockito-15
Mockito,16,src/org/mockito/internal/MockitoCore.java,Mockito-16
Mockito,16,src/org/mockito/Mockito.java,Mockito-16
Mockito,17,src/org/mockito/internal/creation/MockSettingsImpl.java,Mockito-17
Mockito,17,src/org/mockito/internal/util/MockUtil.java,Mockito-17
Mockito,18,src/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java,Mockito-18
Mockito,19,src/org/mockito/internal/configuration/injection/filter/FinalMockCandidateFilter.java,Mockito-19
Mockito,19,src/org/mockito/internal/configuration/injection/filter/MockCandidateFilter.java,Mockito-19
Mockito,19,src/org/mockito/internal/configuration/injection/filter/NameBasedCandidateFilter.java,Mockito-19
Mockito,19,src/org/mockito/internal/configuration/injection/filter/TypeBasedCandidateFilter.java,Mockito-19
Mockito,19,src/org/mockito/internal/configuration/injection/PropertyAndSetterInjection.java,Mockito-19
Mockito,2,src/org/mockito/internal/util/Timer.java,Mockito-2
Mockito,20,src/org/mockito/internal/creation/bytebuddy/ByteBuddyMockMaker.java,Mockito-20
Mockito,21,src/org/mockito/internal/creation/instance/ConstructorInstantiator.java,Mockito-21
Mockito,22,src/org/mockito/internal/matchers/Equality.java,Mockito-22
Mockito,23,src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,Mockito-23
Mockito,24,src/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java,Mockito-24
Mockito,25,src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,Mockito-25
Mockito,26,src/org/mockito/internal/util/Primitives.java,Mockito-26
Mockito,27,src/org/mockito/internal/util/MockUtil.java,Mockito-27
Mockito,28,src/org/mockito/internal/configuration/DefaultInjectionEngine.java,Mockito-28
Mockito,29,src/org/mockito/internal/matchers/Same.java,Mockito-29
Mockito,3,src/org/mockito/internal/invocation/InvocationMatcher.java,Mockito-3
Mockito,30,src/org/mockito/exceptions/Reporter.java,Mockito-30
Mockito,30,src/org/mockito/internal/stubbing/defaultanswers/ReturnsSmartNulls.java,Mockito-30
Mockito,31,src/org/mockito/internal/stubbing/defaultanswers/ReturnsSmartNulls.java,Mockito-31
Mockito,32,src/org/mockito/internal/configuration/SpyAnnotationEngine.java,Mockito-32
Mockito,33,src/org/mockito/internal/invocation/InvocationMatcher.java,Mockito-33
Mockito,34,src/org/mockito/internal/invocation/InvocationMatcher.java,Mockito-34
Mockito,35,src/org/mockito/Matchers.java,Mockito-35
Mockito,36,src/org/mockito/internal/invocation/Invocation.java,Mockito-36
Mockito,37,src/org/mockito/internal/stubbing/answers/AnswersValidator.java,Mockito-37
Mockito,38,src/org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool.java,Mockito-38
Mockito,4,src/org/mockito/exceptions/Reporter.java,Mockito-4
Mockito,5,src/org/mockito/internal/verification/VerificationOverTimeImpl.java,Mockito-5
Mockito,6,src/org/mockito/Matchers.java,Mockito-6
Mockito,7,src/org/mockito/internal/util/reflection/GenericMetadataSupport.java,Mockito-7
Mockito,8,src/org/mockito/internal/util/reflection/GenericMetadataSupport.java,Mockito-8
Mockito,9,src/org/mockito/internal/stubbing/answers/CallsRealMethods.java,Mockito-9
Time,1,src/main/java/org/joda/time/field/UnsupportedDurationField.java,Time-1
Time,1,src/main/java/org/joda/time/Partial.java,Time-1
Time,10,src/main/java/org/joda/time/base/BaseSingleFieldPeriod.java,Time-10
Time,11,src/main/java/org/joda/time/tz/ZoneInfoCompiler.java,Time-11
Time,12,src/main/java/org/joda/time/LocalDate.java,Time-12
Time,12,src/main/java/org/joda/time/LocalDateTime.java,Time-12
Time,13,src/main/java/org/joda/time/format/PeriodFormatterBuilder.java,Time-13
Time,14,src/main/java/org/joda/time/chrono/BasicMonthOfYearDateTimeField.java,Time-14
Time,15,src/main/java/org/joda/time/field/FieldUtils.java,Time-15
Time,16,src/main/java/org/joda/time/format/DateTimeFormatter.java,Time-16
Time,17,src/main/java/org/joda/time/DateTimeZone.java,Time-17
Time,18,src/main/java/org/joda/time/chrono/GJChronology.java,Time-18
Time,19,src/main/java/org/joda/time/DateTimeZone.java,Time-19
Time,2,src/main/java/org/joda/time/field/UnsupportedDurationField.java,Time-2
Time,2,src/main/java/org/joda/time/Partial.java,Time-2
Time,20,src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java,Time-20
Time,21,src/main/java/org/joda/time/tz/DefaultNameProvider.java,Time-21
Time,22,src/main/java/org/joda/time/base/BasePeriod.java,Time-22
Time,23,src/main/java/org/joda/time/DateTimeZone.java,Time-23
Time,24,src/main/java/org/joda/time/format/DateTimeParserBucket.java,Time-24
Time,25,src/main/java/org/joda/time/DateTimeZone.java,Time-25
Time,26,src/main/java/org/joda/time/chrono/ZonedChronology.java,Time-26
Time,26,src/main/java/org/joda/time/DateTimeZone.java,Time-26
Time,26,src/main/java/org/joda/time/field/LenientDateTimeField.java,Time-26
Time,27,src/main/java/org/joda/time/format/PeriodFormatterBuilder.java,Time-27
Time,3,src/main/java/org/joda/time/MutableDateTime.java,Time-3
Time,4,src/main/java/org/joda/time/Partial.java,Time-4
Time,5,src/main/java/org/joda/time/Period.java,Time-5
Time,6,src/main/java/org/joda/time/chrono/GJChronology.java,Time-6
Time,7,src/main/java/org/joda/time/format/DateTimeFormatter.java,Time-7
Time,8,src/main/java/org/joda/time/DateTimeZone.java,Time-8
Time,9,src/main/java/org/joda/time/DateTimeZone.java,Time-9